+----------+-----------------+---------------+-----------------+----------+----------+------------+-----------+-----------------------+---------------------------+--------------------+--------------------+----------------------+---------------------+---------------------------------+--------------------------------+---------------------------------------------+
| PlayerID | PlayerTrueName  | PlayerTeams   | SimplePlusMinus | SimplePF | SimplePA | SimplePoss | SimpleMin | SimplePlusMinusPer200 | WeightedPlusMinusOffCourt | WeightedPFOffCourt | WeightedPAOffCourt | WeightedPossOffCourt | WeightedMinOffCourt | WeightedPlusMinusPer200OffCourt | WeightedPlusMinusPer200OnCourt | WeightedPlusMinusPer200OnCourtMinusOffCourt |
|      110 | Hinrich         | CHI           |             -16 |     5963 |     5979 |      11849 |   2954.10 |             -0.270065 |                        73 |               2060 |               1987 |                 4191 |             1025.70 |                          3.4837 |                        -0.2701 |                                     -3.7538 |
|      111 | G. Wallace      | CHA           |             -57 |     3910 |     3967 |       7705 |   1895.07 |              -1.47956 |                      -270 |               4033 |               4303 |                 8458 |             2085.47 |                         -6.3845 |                        -1.4796 |                                      4.9049 |
|      112 | Nocioni         | CHI           |             -84 |     4542 |     4626 |       9123 |   2241.23 |               -1.8415 |                       141 |               3481 |               3340 |                 6917 |             1738.57 |                          4.0769 |                        -1.8415 |                                     -5.9184 |
|      113 | Duhon           | CHI           |             -50 |     4306 |     4356 |       8696 |   2154.40 |              -1.14995 |                       107 |               3717 |               3610 |                 7344 |             1825.40 |                          2.9139 |                          -1.15 |                                     -4.0639 |
|      114 | Knight          | CHA           |            -223 |     4696 |     4919 |       9492 |   2350.70 |              -4.69869 |                      -104 |               3247 |               3351 |                 6671 |             1629.83 |                          -3.118 |                        -4.6987 |                                     -1.5807 |
|      115 | Brezec          | CHA           |            -331 |     4234 |     4565 |       8619 |   2165.63 |              -7.68071 |                         4 |               3709 |               3705 |                 7544 |             1814.90 |                           0.106 |                        -7.6807 |                                     -7.7867 |
|      116 | Rush            | CHA           |            -178 |     2177 |     2355 |       4559 |   1111.23 |              -7.80873 |                      -149 |               5766 |               5915 |                11604 |             2869.30 |                         -2.5681 |                        -7.8087 |                                     -5.2406 |
|      117 | Okafor          | CHA           |             -70 |     1695 |     1765 |       3505 |    874.22 |              -3.99429 |                      -257 |               6248 |               6505 |                12658 |             3106.32 |                         -4.0607 |                        -3.9943 |                                      0.0664 |
|      118 | Chandler        | CHI           |             105 |     4267 |     4162 |       8367 |   2111.93 |               2.50986 |                       -48 |               3756 |               3804 |                 7673 |             1867.87 |                         -1.2511 |                         2.5099 |                                       3.761 |
|      119 | Gordon          | CHI           |              90 |     5080 |     4990 |       9970 |   2475.30 |               1.80542 |                       -33 |               2943 |               2976 |                 6070 |             1504.50 |                         -1.0873 |                         1.8054 |                                      2.8927 |
